Interval End,Mains Elec kWh,MCC1 (kWh),MCC2 kWh (kWh), MCC3 (kWh),MCC4 (kWh),MCC6 (kWh),UV  (kWh),Blower 1 (kWh),Blower 2 (kWh),Blower 3 (kWh),MCC5 (kWh),Blower 4 (kWh),Blower 5 (kWh),Blower 6 (kWh),MCC4 kWh (kWh),MCC5 kWh (kWh),Bioreactor 2 kWh (kWh)
11:30:00,619.5625,36.25,43.75,181.875,300.125,37.39625000000001,12.5,60.87187499999999,41.276999999999994,61.9625,28.125,66.29887500000001,50.097875,39.9905,0.0,0.0,-37.00125
12:00:00,,,,,,,,,,,,,,,,,
12:30:00,,,,,,,,,,,,,,,,,
13:00:00,,,,,,,,,,,,,,,,,
13:30:00,,,,,,,,,,,,,,,,,
14:00:00,,,,,,,,,,,,,,,,,
14:30:00,,,,,,,,,,,,,,,,,
15:00:00,,,,,,,,,,,,,,,,,
15:30:00,,,,,,,,,,,,,,,,,
16:00:00,,,,,,,,,,,,,,,,,
16:30:00,,,,,,,,,,,,,,,,,
17:00:00,,,,,,,,,,,,,,,,,
17:30:00,,,,,,,,,,,,,,,,,
18:00:00,,,,,,,,,,,,,,,,,
18:30:00,,,,,,,,,,,,,,,,,
19:00:00,,,,,,,,,,,,,,,,,
19:30:00,,,,,,,,,,,,,,,,,
